"sistema","codigo_reservatorio","reservatorio","res_latitude","res_longitude","municipio","codigo_municipio_ibge","estado_nome","estado_sigla","rio","sub_bacia","bacia"
"nordeste_semiarido",12393,"SANTA CRUZ DO TRAIRI",-6.22435,-36.030134,"SANTA CRUZ",2411205,"Rio Grande do Norte","RN","RIO TRAIRI","TRAIRI","TRAIRI"
"nordeste_semiarido",12394,"SANTA HELENA",-12.562219,-38.160163,"MATA DE SÃO JOÃO",2921005,"Bahia","BA","SEM RIO - SANTA HELENA","JACUÍPE","JACUÍPE"
"nordeste_semiarido",12395,"SANTA INÊS",-7.629603,-38.595489,"SANTA INÊS",2513356,"Paraíba","PB","RIACHO SANTA INÊS","PIANCÓ","PIANCÓ"
"nordeste_semiarido",12396,"SANTA LUZIA",-6.874222,-36.924735,"SANTA LUZIA",2513406,"Paraíba","PB","SEM RIO - SANTA LUZIA","SERIDÓ","SERIDÓ"
"nordeste_semiarido",12397,"SANTA MARIA",-5.965585,-38.276506,"ERERÊ",2304277,"Ceará","CE","RIACHO DO AMPARO","MÉDIO JAGUARIBE","MÉDIO JAGUARIBE"
"nordeste_semiarido",12398,"SANTA MARIA DE ARACATIAÇU",-4.042379,-39.987322,"SOBRAL",2312908,"Ceará","CE","RIACHO BOM JESUS","LITORAL","LITORAL"
"nordeste_semiarido",12399,"SANTA ROSA",-6.320491,-37.511288,"BREJO DO CRUZ",2502805,"Paraíba","PB","RIACHO ESCURO","MÉDIO PIRANHAS","MÉDIO PIRANHAS"
"nordeste_semiarido",12400,"SANTO ANTÔNIO",-8.099263,-36.985539,"SÃO SEB. UMBUZEIRO",2515203,"Paraíba","PB","RIO DO UMBUZEIRO","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12401,"SANTO ANTÔNIO",-5.890383,-38.411769,"IRACEMA",2306009,"Ceará","CE","RIACHO JATOBÁ","TAPEROÁ","TAPEROÁ"
"nordeste_semiarido",12402,"SANTO ANTÔNIO DAS CARAÚBAS",-5.906134,-37.507991,"CARAÚBAS",2402303,"Rio Grande do Norte","RN","RIACHO SANTO ANTÔNIO","APODI/MOSSORÓ","APODI/MOSSORÓ"
"nordeste_semiarido",12403,"SANTO ANTÔNIO DE ARACATIAÇU",-3.882443,-40.013373,"SOBRAL",2312908,"Ceará","CE","RIO ARACATIAÇU","LITORAL","LITORAL"
"nordeste_semiarido",12404,"SANTO ANTÔNIO DE RUSSAS",-4.852018,-38.166244,"RUSSAS",2311801,"Ceará","CE","RIO PALHANO","BAIXO JAGUARIBE","BAIXO JAGUARIBE"
"nordeste_semiarido",12405,"SÃO DOMINGOS",-4.220699,-39.282817,"CARIDADE",2303006,"Ceará","CE","RIACHO GRAVATÁ","CURU","CURU"
"nordeste_semiarido",12406,"SÃO DOMINGOS",-7.628112,-36.444818,"SÃO DOMINGOS CARIRI",2513943,"Paraíba","PB","RIACHO DO NAMBI","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12407,"SÃO DOMINGOS II",-7.029354,-39.28301,"CARIRIAÇU",2303204,"Ceará","CE","RIACHO SÃO DOMINGOS","SALGADO","SALGADO"
"nordeste_semiarido",12408,"SÃO FRANCISCO II",-7.246176,-37.206305,"TEIXEIRA",2516706,"Paraíba","PB","RIACHO DAS MOÇAS","ESPINHARAS","ESPINHARAS"
"nordeste_semiarido",12409,"SÃO GONÇALO",-6.845366,-38.311595,"SOUSA",2516201,"Paraíba","PB","RIO PIRANHAS","ALTO PIRANHAS","ALTO PIRANHAS"
"nordeste_semiarido",12410,"SÃO JOSÉ DA TAPERA",-9.594271,-37.379297,"SÃO JOSÉ DA TAPERA",2708402,"Alagoas","AL","RIACHO DO URUBU","SÃO FRANCISCO","SÃO FRANCISCO"
"nordeste_semiarido",12411,"SÃO JOSÉ DO JACUÍPE",-11.523966,-40.044853,"S. JOSÉ DO JACUIPE",2929370,"Bahia","BA","RIO JACUÍPE","PARAGUAÇU","PARAGUAÇU"
"nordeste_semiarido",12412,"SÃO JOSÉ I",-5.195048,-39.601338,"BOA VIAGEM",2302404,"Ceará","CE","RIACHO TAPERA","MÉDIO PIRANHAS","MÉDIO PIRANHAS"
"nordeste_semiarido",12413,"SÃO JOSÉ I",-7.125903,-38.498493,"SÃO JOSÉ DE PIRANHAS",2514503,"Paraíba","PB","RIACHO DOS PATOS","ALTO PIRANHAS","ALTO PIRANHAS"
"nordeste_semiarido",12414,"SÃO JOSÉ II",-7.884487,-37.067395,"MONTEIRO",2509701,"Paraíba","PB","RIACHO SÃO GONÇALO","TAPEROÁ","TAPEROÁ"
"nordeste_semiarido",12415,"SÃO JOSÉ II",-5.837045,-39.47848,"PIQUET CARNEIRO",2310902,"Ceará","CE","RIACHO MULUNGU","BANABUIÚ","BANABUIÚ"
"nordeste_semiarido",12416,"SÃO JOSE II",-7.4768,-37.2947,"SÃO JOSE DO EGITO",2613602,"Pernambuco","PE","RIACHO DE BARRO BRANCO","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12417,"SÃO JOSÉ III",-7.383353,-36.804251,"SÃO JOSÉ DOS CORDEIROS",2514800,"Paraíba","PB","RIACHO SÃO JOSÉ","PARNAÍBA","PARNAÍBA"
"nordeste_semiarido",12418,"SÃO JOSÉ III",-4.896985,-40.770118,"IPAPORANGA",2305654,"Ceará","CE","RIACHO SÃO GONÇALO","TAPEROÁ","TAPEROÁ"
"nordeste_semiarido",12419,"SÃO JOSÉ IV",-6.785973,-36.787229,"SÃO JOSÉ DO SABUGI",2514701,"Paraíba","PB","RIO SÃO JOSÉ","SERIDÓ","SERIDÓ"
"nordeste_semiarido",12420,"SÃO MAMEDE",-6.930205,-37.072465,"SÃO MAMEDE",2514909,"Paraíba","PB","RIO SABUGI/RIACHO SERRA BRANCA","SERIDÓ","SERIDÓ"
"nordeste_semiarido",12421,"SÃO MATEUS",-4.370584,-39.315703,"CANINDÉ",2302800,"Ceará","CE","RIO CANINDÉ","CANINDÉ","CANINDÉ"
"nordeste_semiarido",12422,"SÃO PAULO",-7.648836,-37.077204,"PRATA",2512200,"Paraíba","PB","RIACHO DA ACAUÃ","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12423,"SÃO PEDRO TIMBAÚBA",-3.57159,-39.974148,"MIRAIMA",2308377,"Ceará","CE","RIO ARACATIAÇU","LITORAL","LITORAL"
"nordeste_semiarido",12424,"SÃO SALVADOR",-7.084239,-35.18999,"SAPÉ",2515302,"Paraíba","PB","RIACHO SÃO SALVADOR","BAIXO PARAÍBA","BAIXO PARAÍBA"
"nordeste_semiarido",12425,"SÃO SEBASTIÃO",-7.050754,-35.85538,"SÃO SEB.LAGOA ROÇA",2515104,"Paraíba","PB","SEM RIO - SÃO SEBASTIÃO","MAMANGUAPE","MAMANGUAPE"
"nordeste_semiarido",12426,"SÃO VICENTE",-3.397075,-40.263431,"SANTANA DO ACARAÚ",2312007,"Ceará","CE","RIO SÃO VICENTE","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12427,"SERAFIM DIAS",-5.728299,-39.647462,"MOMBAÇA",2308500,"Ceará","CE","RIO BANABUIÚ","BANABUIÚ","BANABUIÚ"
"nordeste_semiarido",12428,"SERRA BRANCA I",-7.47436,-36.661199,"SERRA BRANCA",2515500,"Paraíba","PB","SEM RIO - SERRA BRANCA I","TAPEROÁ","TAPEROÁ"
"nordeste_semiarido",12429,"SERRA BRANCA II",-7.481033,-36.685043,"SERRA BRANCA",2515500,"Paraíba","PB","RIACHO JATOBÁ","TAPEROÁ","TAPEROÁ"
"nordeste_semiarido",12430,"SERRA VERMELHA I",-7.545495,-38.521422,"CONCEIÇÃO",2504405,"Paraíba","PB","RIO SERRA VERMELHA","PIANCÓ","PIANCÓ"
"nordeste_semiarido",12431,"SERRINHA II",-8.207711,-38.532417,"SERRA TALHADA",2613909,"Pernambuco","PE","RIO PAJEÚ","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12432,"SERRINHA/SERRARIA",-7.317904,-37.304276,"BREJINHO",2602506,"Pernambuco","PE","RIACHO","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12433,"SERROTE",-7.779651,-38.881382,"SÃO JOSÉ DO BELMONTE",2613503,"Pernambuco","PE","RIO MULUNGU/BARROCAS","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12434,"SERROTE",-11.408515,-40.307245,"SERROLÂNDIA",2930600,"Bahia","BA","RIACHO SERROTE","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12435,"SERROTE",-7.921533,-37.101566,"MONTEIRO",2509701,"Paraíba","PB","RIACHO TAMBORIL","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12436,"SERTÃO DE BAIXO",-9.568092,-36.99251,"MAJOR ISIDORO",2704401,"Alagoas","AL","RIACHO DO CAVALOS","SÃO FRANCISCO","SÃO FRANCISCO"
"nordeste_semiarido",12437,"SICUPEMA",-8.221069,-35.062599,"CABO",2602902,"Pernambuco","PE","RIO SICUPEMA","GL-2","GL-2"
"nordeste_semiarido",12438,"SINDÔ RIBEIRO",-7.182253,-35.79614,"MASSARANDUBA",2509206,"Paraíba","PB","SEM RIO - SINDÔ RIBEIRO","MAMANGUAPE","MAMANGUAPE"
"nordeste_semiarido",12439,"SIRIJI",-7.671012,-35.411723,"VICÊNCIA",2616308,"Pernambuco","PE","RIO SIRIGI","GOIANA","GOIANA"
"nordeste_semiarido",12440,"SITIOS NOVOS",-3.770422,-38.961267,"CAUCAIA",2303709,"Ceará","CE","RIO SÃO GONÇALO","METROPOLITANA","METROPOLITANA"
"nordeste_semiarido",12441,"SOBRAL",-3.657279,-40.36543,"SOBRAL",2312908,"Ceará","CE","RIACHO MATA FRESCA","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12442,"SOHEN",-10.368524,-40.096241,"S. DO BONFIM",2930105,"Bahia","BA","RIO JAGUARARI","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12443,"SOLEDADE",-7.069563,-36.346392,"SOLEDADE",2516102,"Paraíba","PB","RIACHO DO PADRE","TAPEROÁ","TAPEROÁ"
"nordeste_semiarido",12444,"SOSSEGO",-5.79375,-38.072637,"RODOLFO FERNANDES",2411007,"Rio Grande do Norte","RN","RIACHO SOSSEGO","APODI/MOSSORÓ","APODI/MOSSORÓ"
"nordeste_semiarido",12445,"SOUZA",-4.392619,-39.282852,"CANINDÉ",2302800,"Ceará","CE","RIACHO JURUTI","CURU","CURU"
"nordeste_semiarido",12446,"SUCESSO",-4.955199,-40.524771,"TAMBORIL",2313203,"Ceará","CE","RIACHO CASIMIRO","PARNAÍBA","PARNAÍBA"
"nordeste_semiarido",12447,"SUMÉ",-7.672004,-36.899519,"SUMÉ",2516300,"Paraíba","PB","RIO SUCURU","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12448,"SUSPIRO",-6.725805,-35.478574,"SERRA DA RAIZ",2515609,"Paraíba","PB","SEM RIO - SUSPIRO","CAMARATUBA","CAMARATUBA"
"nordeste_semiarido",12449,"TAPACURÁ",-8.037145,-35.162492,"SÃO LOURENÇO DA MATA",2613701,"Pernambuco","PE","RIO TAPACURÁ","CAPIBARIBE","CAPIBARIBE"
"nordeste_semiarido",12450,"TAPERA",-6.24238,-37.485252,"BELÉM DO BREJO DA CRUZ",2502003,"Paraíba","PB","RIACHO TAPERA","MÉDIO PIRANHAS","MÉDIO PIRANHAS"
"nordeste_semiarido",12451,"TAPEROÁ II (MANOEL MARCIONILO)",-7.209667,-36.839438,"TAPEROÁ",2516508,"Paraíba","PB","SEM RIO - TAPEROÁ","TAPEROÁ","TAPEROÁ"
"nordeste_semiarido",12452,"TAQUARA",-8.303767,-36.044784,"CARUARU",2604106,"Pernambuco","PE","RIACHO TAQUARA","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12453,"TAQUARA",-3.896413,-40.611363,"CARIRE",2303105,"Ceará","CE","RIACHO TAQUARA","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12454,"TATAJUBA",-6.416015,-39.082469,"ICÓ",2305407,"Ceará","CE","RIO TATAJUBA","SALGADO","SALGADO"
"nordeste_semiarido",12455,"TAUÁ",-6.907498,-35.538557,"CUITEGI",2505204,"Paraíba","PB","RIO TAUÁ","MAMANGUAPE","MAMANGUAPE"
"nordeste_semiarido",12456,"TAVARES II",-7.593358,-37.912479,"TAVARES",2516607,"Paraíba","PB","RIACHO TAVARES","PIANCÓ","PIANCÓ"
